SKU,Handle,Option1 Name,Option1 Value,WS,RRP
K06A,kartech-kart-cover-with-silver-logo-waterproof-1,Title,Default Title,47,69
KKP4A,kartech-king-pin-height-spacer-x4-x1-1,Type,Kartech King Pin Height Spacer 8 x 3.2mm,2,4
NUSS9,kartech-number-side-pod-yellow-black-1,Type,Kartech Number Senior Side Pod  9 Yellow | Black,1,3
K03A,kartech-kart-trolley,Title,Default Title,209,290
K04,kartech-kart-trolley-wheel-tyre-4in-steel-wheel-250x4-tyre-suits-p-n-k03a-1,Title,Default Title,26,37
KKP9,kartech-king-pin-1,Type,Kartech King Pin 8mm X4 - Amax,19,27
KKP12B,kartech-king-pin-caster-adjuster-central-8-10mm-x5-1,Title,Default Title,18,27
KKP45,kartech-king-pin-end-spacers-1,Type,Kartech King Pin End Spacer Steering Shaft Series 2 X5-X6,2,4
KKP12C,kartech-king-pin-height-spacer-x5-1,Type,Kartech King Pin Height Spacer 8mm X5-X6,6,9
KKP8C,kartech-king-pin-self-aligner-large-8-10mm-x4-x1-1,Title,Default Title,4,5
KKP12E,kartech-king-pin-self-aligner-large-8-10mm-x5-1,Title,Default Title,6,11
KKP8D,kartech-king-pin-self-aligner-small-10mm-x4-x1-1,Title,Default Title,4,5
KKP12G,kartech-king-pin-self-aligner-small-x5-1,Type,Kartech King Pin Self Aligner Small 10mm X5-X6,11,16
T50,kartech-lead-weight-1,Type,Kartech Lead Weight 1Kg Round,16,20
KNP7,kartech-nassau-support-bracket-top-all-models-1,Title,Default Title,8,11
NUNJ9,kartech-number-nassa-white-black-1,Type,Kartech Number Junior Nassa  9 White | Black,1,3
NUNCR9,kartech-number-nassa-white-red-1,Type,Kartech Number C|R Nassa  9 White|Red,1,3
NUNS9,kartech-number-nassa-yellow-black-1,Type,Kartech Number Senior Nassa  9 Yellow | Black,1,3
NP7W,kartech-number-plate-nassa-white-full-gloss-sticker-205-x-200mm-1,Title,Default Title,7,10
NP5W,kartech-number-plate-side-pod-white-sticker-170-x-195mm-1,Title,Default Title,4,5
NUSJ9,kartech-number-side-pod-white-black-1,Type,Kartech Number Junior Side Pod  9 White | Black,1,3
NUSCR9,kartech-number-side-pod-white-red-1,Type,Kartech Number C|R Side Pod  9 White|Red,1,3
FT02C,kartech-over-flow-bottle-inc-cap-1,Title,Default Title,10,14
KP40,kartech-pedal-grip-anodised-x5-x1-1,Title,Default Title,10,14
KP21,kartech-pedal-spring-100mm-long-1,Title,Default Title,2,4
KP27,kartech-pedal-spring-for-bolt-x4-x1-1,Type,Kartech Pedal Spring Brake For Bolt Type Pedals,4,5
KP31,kartech-pedal-spring-for-bolt-x5-1,Type,Kartech Pedal Spring Brake X5-X7,4,5
KP25,kartech-pedal-spring-for-pedal-stud-1,Type,Kartech Pedal Spring Brake Pivot Type,4,5
KP22,kartech-pedal-stud-machined-1,Title,Default Title,6,9
KCB2028,kartech-rear-bumper-spacers-1,Type,Kartech Bumper Rear Spacer Alloy 28.6mm . Fits into Chassis,6,9
KCB19,kartech-rear-spoiler-bracket-end-spacer-1,Title,Default Title,6,9
KCB19D,kartech-rear-spoiler-bracket-spacers-1,Type,Kartech Rear Spoiler Bracket Spacer Between Bracket & Chassis - suit 32mm,6,9
SE69,kartech-seat-spacer-rubber-black-6-5mm-1,Title,Default Title,2,3
SE74,kartech-seat-strengthening-washer-alloy-1-6mm-x-60mm-1,Title,Default Title,3,5
SE72B,kartech-seat-washer-c-sunk-black-alloy-8mm-1,Title,Default Title,4,5
SE73L,kartech-seat-washer-self-aligning-large-black-part-1,Title,Default Title,4,5
SE73SB,kartech-seat-washer-self-aligning-small-black-part-1,Title,Default Title,4,5
T16,kartech-sprocket-puller-all-sizes-incl-14t-1,Title,Default Title,39,63
KSS9B,kartech-steering-column-circlip-for-pillow-ball-1,Title,Default Title,2,3
KSS9CS,kartech-steering-column-lock-collar-grub-screw-1,Title,Default Title,2,4
KSS9A,kartech-steering-column-uniball-1,Title,Default Title,15,21
STWWG,kartech-steering-wheel-washer-c-sunk-6mm-1,Title,Default Title,3,5
KSA28,kartech-stub-axle-king-pin-bearing-1,Type,Kartech Stub Axle King Pin Bearing 10mm Id,8,11
KSA33,kartech-stub-axle-spacer-17mm-1,Type,Kartech Stub Axle Spacer 20 x 17,4,5
KSA33G25,kartech-stub-axle-spacer-25mm-1,Type,Kartech Stub Axle Spacer 5 x 25,6,9
KSA25G,kartech-stub-axle-washer-c-sunk-8mm-1,Title,Default Title,4,5
TAPI,kartech-tape-insulation-19mm-wide-x-20m-1,Title,Default Title,2,3
CAT1CB,kartech-throttle-cable-clamp-bolt-x3-x1-pedal-1,Title,Default Title,3,5
CAT5,kartech-throttle-cable-compression-spring-conical-kt100s-kt100j-1,Title,Default Title,2,4
